,dialogue_with_speaker
15570,"NARRATOR:JON nods and leaves. MAESTER AEMON stands to leave, frail and helped by his assistant. He moves slowly down the wooden stairs from the dais to the floor."
15571,"ALLISER THORNE: I am acting commander here, Maester Aemon."
15572,"MAESTER AEMON: Yes, you are."
15573,ALLISER THORNE:  And I don't trust the bastard.
15574,MAESTER AEMON: He told the truth.
15575,ALLISER THORNE: And you always know when a man's telling a lie? How did you acquire this magical power?
15576,MAESTER AEMON: I grew up in King's Landing.
15577,NARRATOR:EXT. King's Landing garden.
15578,NARRATOR:OLENNA and MARGAERY consider necklace options for her wedding.
15579,"OLENNA: No. No. You're a queen, not an ox."
15580,"NARRATOR:OLENNA picks up one of the necklaces, sentimentally. MARGAERY smiles."
15581,OLENNA: Your grandfather gave me a necklace just like this one for my 51st nameday.
15582,"NARRATOR:OLENNA tosses the necklace away, surprising MARGAERY."
15583,"MARGAERY: The wedding is in a fortnight, Grandmother. You can't say no to everything."
15584,OLENNA: Nonsense.
15585,NARRATOR:OLENNA turns to the half dozen maids waiting.
15586,"OLENNA: My little dears. Go and speak to the jewelers of King's Landing. Tell them who you are, tell them who sent you. The one who brings me the best necklace will get to keep the next best."
15587,"NARRATOR:The maids exit, laughing. OLENNA turns back to MARGAERY. They sit."
15588,"OLENNA: The Margaery Tyrell who walks into the sept a fortnight from now will inspire 1,000 songs. Now, how sad it will be if she's wearing rubbish like that."
15589,MARGAERY: Perhaps I should just let Joffrey choose it for me. End up with a string of dead sparrow heads around my neck.
15590,"OLENNA: You watch that. Even here, even with me."
15591,NARRATOR:Footsteps approach and BRIENNE enters.
15592,OLENNA: My word.
15593,BRIENNE: My lady. My lady. Please pardon me for interrupting. My name is Brienne of Tarth.
15594,OLENNA: We know who you are. We've heard all about you. But hearing is one thing. Aren't you just marvelous? Absolutely singular.
15595,NARRATOR:BRIENNE looks embarrassed.
15596,OLENNA: I hear you knocked my grandson into the dirt like the silly little boy he is.
15597,"BRIENNE: My lady, I know this is a very busy time for you, but if I could just have a moment."
15598,"NARRATOR:OLENNA turns to MARGAERY, intrigued."
15599,OLENNA: You dare not refuse.
15600,CUT TO: Another part of the garden.
15601,NARRATOR:BRIENNE and MARGAERY stroll next to a pond
15602,MARGAERY: A shadow?
15603,"BRIENNE: A shadow with the face of Stannis Baratheon. I swear to you by all the gods it was Stannis. He plunged his sword through Renly's heart and disappeared. One day, my lady, I will avenge our king."
15604,MARGAERY: Joffrey is our king now.
15605,BRIENNE: I meant no offense.
15606,MARGAERY: And you've given none.
15607,NARRATOR:MARGAERY gently touches BRIENNE on the shoulder.
15608,NARRATOR:INT. King's Landing.
15609,"NARRATOR:JOFFREY, JAIME and MERYN TRANT are strategizing."
15610,"JAIME: All the Kingsguard will be on duty, of course. Ser Boros will be stationed here. Ser Preston will be stationed here beside the primary entertainment. Your Grace?"
15611,"JOFFREY: Yes, yes, one guard at the... the thing. Go on."
15612,JAIME: Ser Meryn will guard Lady Margaery and Tommen.
15613,"MERYN: I've always guarded the king himself, my lord. Ever since your absence."
15614,"JAIME: And I thank you for it, Ser Meryn. All very good. I don't expect any trouble."
15615,MERYN: The people love their king. They know who keeps them fed.
15616,"JAIME: Margaery Tyrell, I've heard."
15617,JOFFREY: By my leave. They know I saved the city. They know I won the war.
15618,JAIME: The war's not won. Not while Stannis lives.
15619,"JOFFREY: I broke Stannis on the Blackwater. Pity you weren't there to help, Uncle."
15620,"JAIME: My apologies, Your Grace. I was rather busy."
15621,JOFFREY: Busy getting captured.
15622,NARRATOR:JOFFREY thumbs through a large tome.
15623,"JAIME: So this is the famous ""Book of Brothers""? All the great deeds of all the great Kingsguard. Ser Arthur Dayne. The Sword of the Morning. (Chuckles) Led the attack on the Kingswood Brotherhood. Defeated the Smiling Knight in single combat. Ser Duncan the Tall. (Laughs) Four pages for Ser Duncan. He must have been quite a man."
15624,JAIME: So they say.
15625,JOFFREY: Ser Jaime Lannister. (Chuckles)
15626,NARRATOR:There is very little written in the Book of Brothers about JAIME.
15627,JOFFREY: Someone forgot to write down all your great deeds.
15628,JAIME:  There's still time.
15629,JOFFREY:  Is there? For a 40-year-old knight with one hand? How can you protect me with that?
15630,"JAIME: I use my left hand now, Your Grace. Makes for more of a contest."
15631,"NARRATOR:JOFFREY and MERYN exit. JAIME walks over to the book, and slams it shut."
15632,NARRATOR:EXT. ESSOS
15633,"NARRATOR:The unsullied are marching past DAENERYS and MISSANDEI, who stand on a cliff overlooking the shore."
15634,DAENERYS: Have you ever been to Meereen?
15635,"MISSANDEI: Several times, Your Grace, with Master Kraznys."
15636,DAENERYS: And?
15637,"MISSANDEI: They say 1,000 slaves died building the Great Pyramid of Meereen."
15638,DAENERYS: And now an army of former slaves is marching to her gates. You think the Great Masters are worried?
15639,"MISSANDEI:  If they're smart, Your Grace."
15640,"NARRATOR:Footsteps approach, and DAARIO NAHARIS enters."
15641,DAENERYS: You were told to ride at the back of the train.
15642,"DAARIO: Yes, my queen. But I need to speak to you about something important. A matter of strategy."
15643,NARRATOR:DAENERYS signals for MISSANDEI to leave them.
15644,MISSANDEI: Your Grace.
15645,NARRATOR:MISSANDEI exists.
15646,"DAENERYS: All right, what is this matter of strategy?"
15647,NARRATOR:DAARIO presents DAENERYS with a purple flower.
15648,DAARIO: A dusk rose.
15649,DAENERYS: Would you like to walk at the back of the train instead of riding?
15650,"NARRATOR:DAENERYS starts to walk away, but DAARIO follows and presents her with another small flowering plant, this one is white."
15651,DAARIO: And this one's called lady's lace.
15652,DAENERYS: Would you like to walk without shoes?
15653,"DAAERIO: You have to know a land to rule it. It's plants, it's rivers, it's roads, it's people. Dusk rose tea eases fever. Everyone in Meereen knows that. Especially the slaves who have to make the tea. If you want them to follow you, you have to become a part of their world. Strategy."
15654,NARRATOR:DAARIO presents her with a red flower.
15655,DAARIO: Harpy's Gold. No tea from this one. Beautiful but poisonous.
15656,NARRATOR:DAARIO presents the three flowers to DAENERYS in a small bouquet.
15657,"DAENERYS: You are a gambler, aren't you?"
15658,NARRATOR:She takes the flowers. DAARIO makes a small bow to depart.
15659,DAARIO: Your Grace.
15660,"NARRATOR:DAENERYS ponders. A man shouts in valerian. She joins, BARRISTAN SELMY, JORAH, GREY WORM and MISSANDEI. They have found a mile marker, festooned by a woman's corpse who points the way to Mereen.s"
15661,JORAH: There's one on every mile marker between here and Meereen.
15662,DAENERYS: How many miles are there between here and Meereen?
15663,"BARRISTAN: 163, Your Grace. I'll tell our men to ride ahead and bury them. You don't need to see this."
15664,DAENERYS: You will do no such thing. I will see each and every one of their faces. Remove her collar before you bury her.
15665,NARRATOR:EXT.  KING'S LANDING.
15666,NARRATOR:SANSA stands on the shore with eyes closed. BRIENNE and JAIME stand on the cliff above.
15667,BRIENNE: There she is.
15668,"JAIME: Yes, there she is."
15669,BRIENNE: And? You made a promise.
15670,JAIME: To return the Stark girls to their mother who is now dead.
15671,BRIENNE: To keep them safe.
15672,"JAIME: Well, Arya Stark hasn't been seen since her father was killed. Where do you think she is? My money's on dead. There's a certain safety in death, wouldn't you say? And Sansa Stark is now Sansa Lannister. Bit of a complication."
15673,BRIENNE: A complication does not release you from a vow.
15674,JAIME: What do you want me to do? Kidnap my sister-in-law? And take her where? Where would she be safer than here?
15675,BRIENNE: Look me in the eye and tell me that you think she'll be safe in King's Landing.
15676,"JAIME: Are you sure we're not related? Ever since I've returned, every Lannister I've seen has been a miserable pain in my ass. Maybe you're a Lannister, too. You've got the hair for it if not the looks."
15677,NARRATOR:JAIME exits. BRIENNE follows.
15678,"NARRATOR:SANSA comes up from the shore. She hears something, and realizes that she is not alone. She quickens her pace through the woods. A man trails her, stealthily. She speeds her walk, and comes to a table. TOMMY taps her on the shoulder. She starts."
15679,SER DONTOS:  It's all right. It's all right. It's all right.
15680,SANSA:  You're drunk.
15681,SER DONTOS: Yes. I have good reason to be. Once I was a knight. Now I'm only a fool. Don't you know me?
15682,SANSA: Ser Dontos. The king's nameday celebration. I'm sorry. I should have remembered.
15683,"SER DONTOS: I can't accept your apology. I may be a fool, but I'm a living fool, thanks to you."
15684,SANSA: Anyone would have done the same.
15685,"SER DONTOS: But only you did. I can never repay you. You gave me my life. But this, this is worth more than my life."
15686,NARRATOR:SER DONTOS gives SANSA a necklace with blue stones. SANSA looks closely at it.
15687,"SER DONTOS: It belonged to my mother and her mother before her. House Hollard was strong once. House on the rise. That's all that's left of those days, thanks to a few sad, fat drunks like me."
15688,"SANSA: I can't take it. It's very, very kind of you, but I can't."
15689,SER DONTOS: I don't have anything else left. That's all. Take it. Wear it. Let my name have one more moment in the sun before it disappears from the world.
15690,"SANSA: I'll wear it with pride, Ser Dontos."
15691,SER DONTOS: Yeah.
15692,NARRATOR:They both smile
15693,NARRATOR:EXT. THE RIVERLANDS
15694,"NARRATOR:ARYA sits in front of the HOUND on his horse. They ride through a scene of brutal violence, with villagers slaughtered amongst their upended carts. Flies buzz at the corpses."
15695,ARYA: When am I going to get a horse of my own?
15696,HOUND: The little lady wants a pony.
15697,ARYA: The little lady wants away from your stench.
15698,"HOUND: Horses aren't easy to come by. Even if they were, you think I'm gonna put you on your own horse? Watch the only thing of value I've got in the world ride away?"
15699,ARYA: Why don't you have any money? Didn't you steal anything from Joffrey before you left?
15700,HOUND: No.
15701,"ARYA: You're not very smart, are you?"
15702,HOUND: I'm not a thief.
15703,"ARYA: You're fine with murdering little boys, but thieving is beneath you?"
15704,HOUND: A man's got to have a code.
15705,ARYA: You think I'm gonna escape? Where would I go? I'd be dead by nightfall without you. My family's gone. I've got no one.
15706,"HOUND: You've got an aunt in the Vale. Your rich Aunt Lysa. After I sell you to her, maybe she'll have enough left over to buy you that pony you want so much."
15707,CUT TO: outside an Inn. Sounds of men can be heard in the buildings.
15708,ARYA: I'm hungry. You're hungry.
15709,"HOUND: Five horses, five men. More than I feel like killing on an empty stomach."
15710,"NARRATOR:Two men exit the bulding, and ARYA recognizes POLLIVER."
15711,ARYA: I know him. The small one. His name is Polliver. He captured us and took us to Harrenhal.
15712,NARRATOR:The two men urinate into the bushes by the farm.
15713,ARYA: He killed Lommy.
15714,HOUND: What the fuck's a Lommy?
15715,ARYA: He was my friend. Polliver stole my sword and put it right through his neck. He's still got it.
15716,HOUND: Got what?
15717,ARYA: My sword Needle.
15718,HOUND:  Needle? Of course you named your sword.
15719,ARYA: Lots of people name their swords.
15720,HOUND: Lots of cunts.
15721,NARRATOR:The two men finish relieving themselves and return inside. The HOUND notices that ARYA has started towards the Inn.
15722,HOUND: What are you... get back here.
15723,ARYA: My brother gave me that sword.
15724,HOUND:  Get back here.
15725,ARYA:  He killed my friend.
15726,NARRATOR:The HOUND grabs ARYA roughly by the should and puts himself between her and the door.
15727,HOUND: I don't care if he ate your friend. We're not going in there.
15728,"NARRATOR:The door opens behind him and a soldier meets his eye. The HOUND turns to face him fully. He retreats, allowing the HOUND to enter."
15729,CUT TO: FARMHOUSE INTERIOR
15730,"NARRATOR:The HOUND enters the door, and a woman can be heard whimpering while the soldiers egg each other on."
15731,"MAN: Come on, give it up."
15732,INNKEEPER'S DAUGHER: (Whimpers)
15733,MAN: Come here.
15734,INNKEEPER'S DAUGHER: (Whimpers)
15735,MAN: Let's have a feel there.
15736,MAN #2: Leave it.
15737,NARRATOR:The INNKEEPER'S DAUGHER struggles in the grasp of one of the men ARYA enters behind the hound and shuts the door. The soldiers look warily at their the duo. Everyone goes quiet as the HOUND and ARYA enter the inn. The HOUND and ARYA sit at a table in the back. The men return to their assault on the girl.
15738,MAN: Come here.
15739,"INNKEEPER: Please, she's a good girl."
15740,POLLIVER: Shut your mouth and pour us more ale and we may not take her with us when we're done with her.
15741,NARRATOR:POLLIVER turns to look at ARYA . He recognizes her.
15742,POLLIVER: I know you.
15743,NARRATOR:ARYA graps the hilt of the HOUND's sword. POLLIVER stnads.
15744,POLLIVER: You're the Hound.
15745,NARRATOR:ARYA is relieved. She releases her grip on the HOUND's sword. POLLIVER walks over and joins their table.
15746,POLLIVER: Pour our new friend some ale. What brings you so far north?
15747,HOUND: I could ask the same of you. What are you doing up here?
15748,POLLIVER: Just keeping the king's peace.
15749,HOUND: No need. The war's over.
15750,NARRATOR:The INNKEEPER pours them some ale. The HOUND drinks.
15751,POLLIVER: So I've heard. Stannis defeated at the Blackwater. Robb Stark killed at the Twins. And where am I for all of it? Stuck with your brother. Meaning no offense.
15752,HOUND: None taken.
15753,"POLLIVER: He's good, the Mountain is. Best at what he does. But torture, torture, torture, torture. You spend enough time putting the hammer to people, you start to feel like a carpenter making chairs. Drains the fun right out of it. And what's life without a little fun? (Chuckles)"
15754,NARRATOR:POLLIVER turns to look at ARYA.
15755,"POLLIVER: But I don't need to tell you that, eh?"
15756,HOUND: She's all right. I've had better.
15757,"POLLIVER: (Laughs) You know what? You should come with us. His kind, they've always got something hidden away somewhere. Gold, silver, more daughters. Always something if you know how to make them talk. And there's plenty of him between here and King's Landing. You could do well for yourself. We certainly have been."
15758,HOUND: I'm not going to King's Landing.
15759,POLLIVER: Think about it. We could do whatever we like wherever we go. These are the king's colors. No one's standing in his way now. Which means no one's standing in ours.
15760,HOUND: Fuck the king.
15761,NARRATOR:The chatter in the inn stops.The HOUND takes a drink.
15762,"POLLIVER: When I heard that Joffrey's dog had tucked tail and run from the Battle of the Blackwater, I didn't believe it. But here you are."
15763,HOUND: Here I am. Bring me one of those chickens.
15764,POLLIVER: You got money to pay for it?
15765,HOUND: You paid for it?
15766,"POLLIVER: (Laughs) No. But we're the king's men. So, you got money?"
15767,HOUND: Not a penny.
15768,HOUND: I'll still take that chicken.
15769,POLLIVER: Tell you what. We'll trade you. One of our little chickens for one of yours. Give us a go at your friend. Lowell there likes them a bit broken in.
15770,NARRATOR:The men chuckle.
15771,HOUND: You're a talker. Listening to talkers makes me thirsty.
15772,"NARRATOR:The HOUND takes POLLIVER's ale, and finishes it in one long drink."
15773,HOUND: Ah. And hungry. Think I'll take two chickens.
15774,POLLIVER: You don't seem to understand the situation.
15775,"HOUND: I understand that if any more words come pouring out of your cunt mouth, I'm gonna have to eat every fucking chicken in this room."
15776,POLLIVER: You lived your life for the king. You're gonna die for some chickens?
15777,HOUND: Someone is.
15778,"NARRATOR:The men stare one another down. POLLIVER rises to attack, but the HOUND turns over the table, knocking him down. He then sets to the room and dispatches the soldiers one by one, while the INNKEEPER cowers. The fight is brutal, using both sword and fist. POLLIVER and a companion. are able to get the upper hand, and the HOUND falls to the ground, where they kick at him violently. ARYA watches in fright. The HOUND manages to fend them off with his sword, even from the ground. He sweeps the legs out from under one of them, and POLLIVER scambles on all fours towards his sword. The HOUND steps on the blade and slugs POLLIVER violently, who crumples to the ground. The fight continues, and the HOUND gores another soldier before TOMMY pins the HOUND to the ground, a dagger to his throat. With great strength, the HOUND pulls the man's dagger away from his throat while gouging at his face. He positions the man's face over his own dagger, and swiftly slams the soldier's face into the dagger, repeatedly."
15779,"NARRATOR:ARYA moves from shock into action. She shatters a jug over a soldier's head, then picks up a sword and stabs him through, slowly. She comes up behind POLLIVER, who is stalking the wounded HOUND, and stabs him through. She takes need from him before he falls forward to the ground. The HOUND runs another soldier through. ARYA walks calmly over POLLIVER, who lays on his back."
15780,"ARYA: Something wrong with your leg, boy?"
15781,POLLIVER: What? What do you mean?
15782,ARYA: Can you walk? I've got to carry you?
15783,POLLIVER: Carry me?
15784,ARYA: Fine little blade.
15785,NARRATOR:ARYA puts the point of her blade under POLLIVER's chin. He raises his hands weakly in surrender.
15786,ARYA: Maybe I'll pick my teeth with it.
15787,"NARRATOR:A light of recognition fills POLLIVER's eyes, met quickly by ARYA stabbing him through the chin, slowly. He gasps and gurgles. She removes her sword and watches the blood fill his mouth. He chokes, spurts, and dies."
15788,NARRATOR:EXT. Outside the inn
15789,"NARRATOR:The HOUND rides his mount, chewing on some chicken. ARYA comes into view behind him on her own white horse. She looks pleased. They ride through the devastation of the countryside."
15790,NARRATOR:Jon Snow leaves the tunnel and walks out into the snow. Smoking dead bodies lie all around him. As he walks into the forest he becomes surrounded by Wildlings. He has entered the Wildling camp unarmed
15791,MANCE: You're wearing a black cloak again.
15792,JON: I've been sent to negotiate with you.
15793,NARRATOR:Mance and Jon enter Mance's tent and take a seat
15794,"MANCE: It appears my trusting nature got the better of me. It's happened before. I was hoping your loyalty was real when you pledged yourself to us, Jon Snow, truly I was."
15795,"JON: The Halfhand ordered me to join your army and bring back whatever information I could to Castle Black. He made me kill him so you'd trust me. I was loyal, to him and to my Night's Watch vows."
15796,"MANCE: All of your vows? She wasn't enough to turn ya, eh? Were you enough to turn her?"
15797,JON: She put three arrows in me when I escaped.
15798,MANCE: Did you see her again at Castle Black?
15799,JON: Yes.
15800,MANCE: And?
15801,JON: She's dead.
15802,MANCE: Your doing?
15803,JON: No.
15804,MANCE: We'll drink to her.
15805,NARRATOR:One of the Wildlings gets two cups and fills them with liquid. Jon looks at Mance
15806,"MANCE: Of all the ways I'd kill you, poison would be the last."
15807,NARRATOR:They pick up their cups
15808,MANCE: Ygritte.
15809,JON: Ygritte.
15810,NARRATOR:They take a sip and Jon begins to cough
15811,JON: That's not wine.
15812,"MANCE: No, it's a proper Northern drink, Jon Snow. You did well. Fought hard. Killed some of our strongest men. One of our giants went into your tunnel and never came out again. Mag the Mighty."
15813,JON: He's dead. He killed my friend Grenn.
15814,MANCE: He was their king. Last of a bloodline that stretches back before the First Men.
15815,JON: Grenn came from a farm.
15816,NARRATOR:They lift their cups
15817,MANCE: Mag and Grenn.
15818,JON: Grenn and Mag.
15819,"MANCE: Kullback, could I trouble you for something to eat? I don't imagine our guest has eaten anything in quite some time. So. You're here to strike a bargain?"
15820,JON: Turn your army around and go home.
15821,MANCE: You know I know you're low on arrows. You're low on oil. You're low on men. How many are left? 50?
15822,JON: I told Tormund and Orell. We have more than a thousand men.
15823,"MANCE: I showed you everything I had. The whole army, a hundred thousand strong, and what did you do? You fired on us with everything you had. It wasn't much. Soon as I saw that I sent four hundred men to climb the wall. An unmanned stretch five miles west of here. A lot of them will die climbing, but most of them will be over by the end of the day. This is me being honest with you, Jon Snow, which is more than you've ever done for me. My people have bled enough. We're not here to conquer, we're here to hide behind your wall just like you. We need your tunnel. Now we both know that winter is coming and if my people aren't south of the wall when it comes in earnest, we'll all end up worse than dead. Wanna strike a bargain with me? Here's a bargain. You go back, you open the gates to us and I swear to you that no one else will die. Refuse and we'll kill every last man in Castle Black."
15824,NARRATOR:Jon looks over towards the knife. The Wildlings get their weapons ready
15825,"MANCE: Ah! Oh, that's why you're here. I reckon you could do it before any of them could stop ya. They'd kill you of course, they'd kill ya slow, but ya knew that when you came in here. Are you capable of that, Jon Snow? Killing a man in his own tent when he's just offered ya peace? Is that what the Night's Watch is? Is that what you are?"
15826,"NARRATOR:A horn blows in the distance. Everyone scrambles, Mance draws a knife to Jon's neck"
15827,MANCE: You attacking us?
15828,"JON: No, it's like you said, we don't have the men."
15829,NARRATOR:The Wildlings run around frantically. Men on horseback ride toward them
15830,MANCE: Hold! To me. To me.
15831,"NARRATOR:The horsemen continue toward the Wildlings, killing all in their path. The Wildlings fight back, clearly outnumbered"
15832,MANCE: Stand down! I said my people have bled enough and I meant it.
15833,NARRATOR:Stannis Baratheon and Davos Seaworth ride up toward Mance Rayder. They get off their horses. Mance disarms himself
15834,STANNIS: You're the king beyond the wall?
15835,NARRATOR:Mance nods
15836,STANNIS: You know who I am?
15837,MANCE: Never had the pleasure.
15838,"DAVOS: This is Stannis Baratheon, the one true king of the seven kingdoms."
15839,MANCE: We're not in the seven kingdoms and you're not dressed for this weather.
15840,STANNIS: It is customary to kneel when surrendering to a king.
15841,MANCE: We do not kneel.
15842,"STANNIS: I'll have thousands of your men in chains by nightfall, I'll have nowhere to put them and nothing to feed them. I'm not here to slaughter beat dogs. Their fate depends on their king."
15843,"MANCE: All the same, we do not kneel."
15844,STANNIS: Take these men away.
15845,DAVOS: What are men of the Night's Watch doing in a Wildling camp?
15846,JON: I was sent to discuss terms with the king beyond the wall.
15847,DAVOS: You're speaking to the one true king boy. You'll address him as your grace.
15848,"JON: I know he's the king. My father died for him. My name is Jon Snow, your grace. I'm Ned Stark's son."
15849,STANNIS: Your father was an honorable man.
15850,"JON: He was, your grace."
15851,STANNIS: What do you think he'd have done with him?
15852,"JON: I was this man's prisoner once. He could've tortured me, he could've killed me, but he spared my life. I think my father would've taken him prisoner, listened to what he had to say."
15853,STANNIS: Very well. *to Davos* Take him.
15854,"JON: Your grace. If my father'd seen the things that I've seen, he'd also tell you to burn the dead before nightfall. All of them."
15855,CUT TO: KING'S LANDING
15856,NARRATOR:Qyburn is seen closely analyzing Gregor's body. He's in Pycelle's lab with Cersei
15857,PYCELLE: I would suggest milk of the poppy to ease his pain but he is completely insensate.
15858,CERSEI: Bloody Martells.
15859,PYCELLE: The cause appears to be manticore venom.
15860,"QYBURN: It is, yes, manticore."
15861,"PYCELLE: I've read a good deal about it. It's a horrible poison, usually Mantari in origin. Oh! Yes, yes. There's nothing to be done."
15862,QYBURN: Yes there is.
15863,PYCELLE: May I ask what you think you're doing?
15864,QYBURN: Saving him.
15865,"PYCELLE: Your grace. I wish it were otherwise, but Ser Gregor is beyond saving. Well, well beyond. This man is not even a Maester, let alone Grand Maester."
15866,QYBURN: That's for the best. No Maester knows how to save him.
15867,"PYCELLE: That is exactly the sort of arrogance that had him expelled from the citadel, your grace. His curiosity was deemed dangerous and unnatural. Rightly so in my opinion."
15868,"CERSEI: You're dismissed, Grand Maester."
15869,PYCELLE: Your grace. This is my laboratory!
15870,CERSEI: Not anymore.
15871,NARRATOR:Pycelle leaves the laboratory angrily as Qyburn tries to save Gregor's body
15872,CERSEI: You can save him?
15873,"QYBURN: Difficult to say, your grace, but if my past work is any guide. We stand a chance."
15874,CERSEI: Do everything you can. Come to me with anything you need.
15875,"QYBURN: Thank you, your grace. You should know, the process may change him, somewhat."
15876,CERSEI: Will it weaken him?
15877,QYBURN: Oh no.
15878,CERSEI: Very well then.
15879,NARRATOR:Cersei leaves as Qyburn drains Gregor's blood. Cersei is seen arguing with Tywin
15880,"TYWIN: Not another word. We've been over this, the matter's closed."
15881,CERSEI: I'm opening it again.
15882,TYWIN: You are betrothed to Loras Tyrell. Still betrothed to Loras Tyrell and you will marry Loras Tyrell as soon as Tommen marries Margaery.
15883,CERSEI: I will not.
15884,"TYWIN: Jaime cannot marry or inherit lands. Tyrion's sentence will be carried out tomorrow. You have, on several occasions, made great claims about your commitment to this family's future. Your role in that future is more vital now than it ever was."
15885,"CERSEI: I don't care. I will stay in King's Landing where I belong with my son, the king."
15886,"TYWIN: When you were nine years old, I was called to the capital. I decided to take your brother with me and not you. You insisted that you would not be left at Casterly Rock under any circumstances and if you recall-"
15887,CERSEI: I'm not interested in hearing another one of your smug stories about the time you won. This isn't going to be one of those times.
15888,TYWIN: Do you think you'll be the first person dragged into a sept to be married against her will?
15889,"CERSEI: When you marched into the throne room to tell me we'd won the Battle at Blackwater, do you remember?! I was sitting on the iron throne with Tommen. I was about to give him essence of nightshade, that's how far I was willing to go when I thought someone awful had come to take my son away. Someone awful is coming to take him away."
15890,TYWIN: No.
15891,"CERSEI: Joffrey is dead. Myrcella's been sold like livestock. And now you want to ship me off to Highgarden and steal my boy, my last boy. Margaery will dig her claws in and you will dig your claws in and you will fight over him like beasts until you rip him apart. I will burn our house to the ground before I let that happen."
15892,TYWIN: And how will you do that?
15893,CERSEI: I'll tell everyone the truth.
15894,TYWIN: And what truth would that be?
15895,"CERSEI: You don't know, do you? You never believed it. How is that possible? What am I saying, of course it's possible. How can someone so consumed by the idea of his family have any conception what his actual family was doing? We were right there in front of you and you didn't see us. One look in the past twenty years, one real look and you would've known."
15896,TYWIN: Known what?
15897,CERSEI: Everything they say is true. About Jaime and me.
15898,"TYWIN: No, no, no, no, no."
15899,CERSEI: Your legacy is a lie.
15900,TYWIN: I don't believe you.
15901,CERSEI: Yes you do.
15902,"NARRATOR:Cersei walks away, leaving Tywin standing there alone. Jaime is turning pages in a book in another room"
15903,CERSEI: Jaime.
15904,"JAIME: You won. One fewer brother. Must be proud of yourself. There's really nothing you wouldn't do, is there?"
15905,"CERSEI: For my family, no. I would do things for my family you couldn't imagine."
15906,JAIME: Tyrion is your family.
15907,CERSEI: He's not.
15908,JAIME: You don't get to choose.
15909,"CERSEI: I do, so do you. You can choose the creature that killed our mother to come into this world-"
15910,JAIME: Are you really mad enough to blame him for that? He didn't decide to kill her. He was an infant.
15911,"CERSEI: A disease doesn't decide to kill you, all the same you cut it out before it does. What do you decide? What do you choose?"
15912,"JAIME: The things I did to get back to you, to endure all that, only to find you-"
15913,NARRATOR:Cersei kisses Jaime
15914,CERSEI: I choose you.
15915,JAIME: Those are words.
15916,CERSEI: Yes. Like the ones I just said to father. I told him.
15917,JAIME: Told him what?
15918,CERSEI: I told him about us.
15919,JAIME: You told him?
15920,"CERSEI: I told him I wouldn't marry Loras Tyrell. I told him I'm staying right here with Tommen, with you."
15921,JAIME: You think he'll just accept that?
15922,CERSEI: Go and ask him.
15923,NARRATOR:Cersei kisses Jaime
15924,JAIME: What did you say?
15925,"CERSEI: I don't want to talk about Tywin Lannister. I don't choose Tywin Lannister, I don't love Tywin Lannister. I love my brother. I love my lover. People will whisper, they'll make their jokes. Let them. They're all so small I can't even see them. I only see what matters."
15926,NARRATOR:Cersei kisses Jaime's metal hand. Jaime pulls her close and kisses her
15927,JAIME: Someone will walk in.
15928,CERSEI: I don't care.
15929,NARRATOR:Jaime picks Cersei up and lays her on the table as the start having sex.
15930,CUT TO: MEREEN
15931,NARRATOR:Daenerys is sitting on her throne listening to her people's problems
15932,"MISSANDEI: *in Valyrian* You stand before Daenerys Stormborn, the Unburnt, Queen of Mereen, Queen of the Andals and the Rhoynar and the First Men. Khaleesi of the Great Grass Sea, Breaker of Chains and Mother of Dragons."
15933,"FENNESZ: *in Valyrian* Thank you for seeing me, your grace. My name is Fennesz. I can speak the common tongue if you wish."
15934,DAENERYS: You speak it very well.
15935,"FENNESZ: Before you freed me, I belonged to Master Mighdal. I was tutor to his children. I taught them languages and history. They know a great deal about your family because of me. Little Calla is only seven, but she admires you very much."
15936,DAENERYS: I hope I can prove worthy of her admiration. What can I do for you?
15937,"FENNESZ: When you took the city, the children begged me not to leave the house. But Master Mighdal and I agreed that I must. So I lost my home. Now I live on the streets."
15938,DAENERYS: I have outfitted mess halls to feed all former slaves and barracks to shelter them.
15939,"FENNESZ: I do not mean to offend, your grace. I went to one of these places. The young prey on the old. Take what they want and beat us if we resist."
15940,"DAENERYS: My Unsullied will make them safe again in short order my friend, this I promise you."
15941,"FENNESZ: Even if they are safe, who would I be there? What purpose would I serve? With my master, I was a teacher. I had the respect and love of these children."
15942,DAENERYS: What is it that you want from me?
15943,"FENNESZ: Your grace, I ask you to let me sell myself back to Master Mighdal."
15944,"DAENERYS: You want to return to a man who owned you, like a goat or a chair?"
15945,"FENNESZ: Please, your grace, the young may rejoice in the new world you've built for them. But for those of us too old to change there is only fear and squalor. I am not alone. There are many outside waiting to beg the same-"
15946,DAENERYS: I did not take this city to preside over the injustice I fought to destroy. I took it to bring people freedom. But freedom means making your own choices. I will allow you to sign a contract with your former master. It may not cover a period lasting longer than a year.
15947,"FENNESZ: Thank you, your grace. Thank you."
15948,NARRATOR:Fennesz leaves slowly
15949,BARRISTAN: The masters will take advantage of this situation. The men serving them will be slaves in all but name.
15950,NARRATOR:Another man enters the hall
15951,DAENERYS: Approach my friend.
15952,"MAN: *in Low Valyrian* I do not understand, my queen. I do not understand, my queen."
15953,MISSANDEI: *in Low Valyrian* The Queen says you may approach.
15954,"MAN: *crying, speaking Low Valyrian*"
15955,MISSANDEI: *translating* I have brought you. He came from the sky. The black one. The winged shadow. He came from the sky and...
